date,overall,food_beverage,clothing_footwear,housing_utilities,furnishings,health,transport,communication,recreation_culture,education,hospitality,misc
01/01/2016,113.2,119.5,99,114.9,111.2,116.8,108.7,98.1,107.7,114,123.9,112
01/02/2016,113.6,119.8,98.7,115.6,111.6,117.2,109.2,98,108.2,114.5,124.4,112.3
01/03/2016,113.7,120.1,98.6,115.6,111.7,117.2,109.6,98.1,108.2,114.7,124.6,112.5
01/04/2016,113.8,120.2,98.7,115.6,111.8,117.1,109.7,98.1,108.2,114.8,124.7,112.5
01/05/2016,114,120.4,98.6,116.2,111.8,117.2,109.9,98.1,108.3,114.8,125,112.7
01/06/2016,114.1,120.5,98.5,116.2,111.9,117.7,109.9,98.1,108.3,114.9,124.9,112.7
01/07/2016,114.2,120.6,98.4,116.3,112.1,117.8,110,98.1,108.8,115,125.1,113.1
01/08/2016,114.8,121.1,98.2,116.9,112.1,118.1,111.6,98.1,111.1,115,125.4,113.2
01/09/2016,114.9,121.3,98.4,117,112.1,118.5,111.6,98,111.1,115,125.7,113.2
01/10/2016,114.9,121.4,98.4,117,112.3,118.8,111.7,98,111.2,115,125.7,113.1
01/11/2016,115.3,122.1,98.4,117.6,112.4,119.1,111.8,97.9,111,115.1,125.8,113.7
01/12/2016,115.4,122.3,98.3,117.7,112.5,119.3,111.9,97.9,111.1,115.1,126.1,113.5
01/01/2017,115.6,122.9,98.3,117.7,112.9,119.7,112.3,97.9,111.2,116.3,126.5,113.6
01/02/2017,116.2,123.6,98.5,118.7,113.3,120,112.6,97.8,111.6,116.5,127.3,113.9
01/03/2017,116.3,123.9,98.4,118.7,113.4,120.2,112.8,97.9,111.4,116.6,127.5,114
01/04/2017,116.6,124.4,98.6,118.7,113.9,120.4,113,97.8,111.4,116.7,127.7,114.2
01/05/2017,116.8,124.7,98.4,119.3,114.2,120.6,113.3,97.8,111.4,116.7,127.9,114.2
01/06/2017,116.8,124.8,98.2,119.3,114.2,120.8,113.5,97.8,111.5,116.8,128,114.1
01/07/2017,117.1,125.2,98,119.3,115,121.2,113.6,97.8,111.6,116.8,128.3,114.4
01/08/2017,117.4,125.6,97.9,120.3,115.1,121.3,113.9,97.8,111.5,116.8,128.9,114.2
01/09/2017,117.6,126.1,98.1,120.3,115.2,121.5,113.9,97.7,111.5,116.8,129,114.4
01/10/2017,117.6,126.2,98,120.3,115.2,121.6,114,97.6,111.6,116.8,129.1,114.5
01/11/2017,117.8,126.5,97.9,120.7,115.2,121.7,114.3,97.4,111.7,116.8,129.3,114.5
01/12/2017,117.9,126.9,97.8,120.7,115.2,122,114.3,97.4,111.7,117,129.4,114.3
01/01/2018,118.1,127.2,98,120.7,115.8,122.4,114.6,97.3,111.8,117.7,129.5,114.6
01/02/2018,118.3,127.4,97.8,121.5,115.7,122.5,114.2,97.3,112,117.8,129.6,114.3
01/03/2018,118.3,127.6,97.7,121.5,115.8,122.6,112.8,97.2,112,117.9,130,114.5
01/04/2018,118.4,127.9,97.8,121.5,115.9,122.9,112.8,97.1,112.1,118,130.5,114.6
01/05/2018,118.6,128.1,97.7,122.3,115.9,122.9,112.6,96.9,112,118.1,130.6,114.7
01/06/2018,116.9,126.1,95.2,122.2,113.1,121.2,111.7,94,108.7,117.9,129.6,111.1
01/07/2018,116.9,126.2,95.1,122.2,113.1,121.2,111.7,94,108.9,118,129.6,111
01/08/2018,117.2,126.4,95.1,123.1,113.2,121.3,111.8,93.9,109,118.1,129.8,110.8
01/09/2018,117.9,127.4,95,123.1,114.3,121.3,112.1,96.1,111.3,118.1,130.4,111
01/10/2018,118.1,127.8,95,123.1,114.8,121.3,112.4,96.1,111.4,118.1,130.6,111.3
01/11/2018,118.4,128.4,94.9,123.5,115.1,121.5,112.5,96.1,111.4,118.4,130.9,111.5
01/12/2018,118.4,128.5,94.7,123.5,115.3,121.5,112,96.1,111.5,118.3,131.1,111.5
01/01/2019,118.3,129.3,94.8,123.5,115.5,121.8,105.9,96.1,111.4,118.8,131.1,111.9
01/02/2019,118.6,129.6,94.7,124.3,115.8,122,106.4,96.1,111.6,119.3,131.3,111.8
01/03/2019,118.9,129.8,94.8,124.3,116.1,122.3,109.2,96.1,111.5,119.4,131.3,112.2
01/04/2019,119,129.9,94.7,124.3,116.1,122.5,109.7,96,111.6,119.4,131.6,112.3
01/05/2019,119.1,130,94.6,124.7,116.5,122.5,109.8,96,111.5,119.5,131.4,112.3
01/06/2019,119.1,129.9,94.5,124.7,116.6,122.7,109.5,96,111.6,119.5,131.7,112.6
01/07/2019,119.2,130.1,94.1,124.8,116.8,122.8,109.6,96,111.5,119.6,131.8,113
01/08/2019,119.5,130.3,94.1,125.5,116.8,123,109.5,96,111.5,119.7,132,113.6
01/09/2019,119.7,130.4,94.1,125.5,116.7,122.9,109.6,96,112.2,120.2,132.2,114
01/10/2019,119.8,130.5,93.8,125.6,116.7,123,109.8,97.5,112.2,120.3,132.2,113.8
01/11/2019,120.1,130.7,93.9,126.1,116.8,123.2,109.8,97.5,112.3,120.3,132.3,114.3
01/12/2019,120.1,130.8,93.8,126.1,116.9,123.2,109.9,97.5,112.2,120.3,132.5,114.2
01/01/2020,120.2,131,93.7,126.2,116.9,123.5,107.4,97.5,112.4,120.8,132.6,114.7
01/02/2020,120.1,131.2,93.7,126.7,117,123.6,106.6,97.5,112.4,120.9,132.8,114.6
01/03/2020,120.4,131.4,93.6,126.7,117,124,109.5,97.5,112.3,120.9,132.5,115.1
01/04/2020,120.5,131.3,93.6,126.7,116.5,124,109.9,97.5,112.3,120.8,132.5,114.9
01/05/2020,120.4,131.4,93.6,126.5,116.3,124,110,97.5,112.3,120.7,132.6,115.5
01/06/2020,120.5,131.6,93.5,126.5,116.4,124.1,109.3,97.5,112.3,120.5,132.1,116
01/07/2020,120.5,131.7,93.5,126.5,116.7,124.2,109.4,97.5,112.3,121,132,116.3
01/08/2020,120.8,132.1,93.5,126.7,116.7,124.3,109.6,97.5,112.2,121,132.1,117.1
01/09/2020,120.9,132.2,93.5,126.7,116.8,124.3,109.5,97.5,112.3,121.1,132.3,117.1
01/10/2020,120.8,132.2,93.4,126.7,116.8,124.4,109.6,97.5,112.4,121.1,132.3,117
01/11/2020,120.9,132.3,93.4,126.8,116.7,124.4,109.6,97.5,112.4,121,132.3,116.9
01/12/2020,120.9,132.4,93.4,126.8,116.8,124.4,109.6,97.5,112.4,121,132.3,116.7
01/01/2021,121,132.6,93.3,126.8,117.1,124.4,106.8,97.5,112.5,121,132.5,116.8
01/02/2021,121,132.7,93.3,127.2,117.3,124.5,107.1,97.5,112.5,121,132.4,116.4
01/03/2021,121.2,132.9,93.3,127.2,118,124.6,110.2,97.5,112.9,120.9,132.5,116.2
01/04/2021,121.3,133,93.2,127.2,118.4,124.6,110.6,97.5,113.1,121.1,132.7,116.3
01/05/2021,121.4,133.1,93.1,127.3,118.7,124.7,110.9,97.5,113,121.1,132.8,116.3
01/06/2021,121.4,133.2,93.1,127.3,118.7,124.7,110.4,97.5,113,121.1,132.8,116.4
01/07/2021,121.3,133.2,93.1,127.3,118.7,124.7,110.5,97.5,113,121.1,132.9,116.4
01/08/2021,121.5,133.3,93.1,127.4,118.7,124.7,110.4,97.5,113,121,132.9,116.4
01/09/2021,121.6,133.5,93,127.5,118.8,124.7,110.5,97.5,113,121,132.7,116.5
01/10/2021,121.6,133.8,93,127.5,119.3,124.7,110.8,97.5,112.6,121,133.1,116.8
01/11/2021,122,134.4,93,127.8,119.7,124.7,110.39999999999999,97.5,112.6,121.1,133.5,117
01/12/2021,122.2,135.2,93,127.9,120,124.7,111.7,97.5,112.9,121.2,134,117.2
