State,Year,Number of Domestic Visitors
Johor,01/01/2015,11589
Kedah,01/01/2015,12425
Kelantan,01/01/2015,9070
Melaka,01/01/2015,11552
Negeri Sembilan,01/01/2015,9984
Pahang,01/01/2015,14398
Pulau Pinang,01/01/2015,9341
Perak,01/01/2015,15966
Perlis,01/01/2015,1410
Selangor,01/01/2015,22063
Terengganu,01/01/2015,11483
Sabah,01/01/2015,16032
Sarawak,01/01/2015,15355
W.P. Kuala Lumpur,01/01/2015,16268
Johor,01/01/2016,12207
Kedah,01/01/2016,13188
Kelantan,01/01/2016,8646
Melaka,01/01/2016,12268
Negeri Sembilan,01/01/2016,10130
Pahang,01/01/2016,14168
Pulau Pinang,01/01/2016,12565
Perak,01/01/2016,16783
Perlis,01/01/2016,1410
Selangor,01/01/2016,24124
Terengganu,01/01/2016,12010
Sabah,01/01/2016,16872
Sarawak,01/01/2016,16282
W.P. Kuala Lumpur,01/01/2016,18600
Johor,01/01/2017,13140.63973
Kedah,01/01/2017,13304.53493
Kelantan,01/01/2017,9623.663823
Melaka,01/01/2017,12624.98481
Negeri Sembilan,01/01/2017,10822.32055
Pahang,01/01/2017,16491.33914
Pulau Pinang,01/01/2017,12642.64328
Perak,01/01/2017,20109.71007
Perlis,01/01/2017,1413.610533
Selangor,01/01/2017,25491.16105
Terengganu,01/01/2017,12979.37637
Sabah,01/01/2017,18172.71264
Sarawak,01/01/2017,17670.34745
W.P. Kuala Lumpur,01/01/2017,20921.44248
Johor,01/01/2018,13487.23791
Kedah,01/01/2018,14480.0184
Kelantan,01/01/2018,9846.123436
Melaka,01/01/2018,13122.60416
Negeri Sembilan,01/01/2018,12802.11891
Pahang,01/01/2018,18111.35658
Pulau Pinang,01/01/2018,14450.49119
Perak,01/01/2018,17553.16121
Perlis,01/01/2018,2155.507903
Selangor,01/01/2018,30179.0472
Terengganu,01/01/2018,13742.36636
Sabah,01/01/2018,20904.88109
Sarawak,01/01/2018,19380.2302
W.P. Kuala Lumpur,01/01/2018,21057.49717
Johor,01/01/2019,14274
Kedah,01/01/2019,14831
Kelantan,01/01/2019,10986
Melaka,01/01/2019,13979
Negeri Sembilan,01/01/2019,13303
Pahang,01/01/2019,18498
Pulau Pinang,01/01/2019,15411
Perak,01/01/2019,21070
Perlis,01/01/2019,2088
Selangor,01/01/2019,33589
Terengganu,01/01/2019,14158
Sabah,01/01/2019,22559
Sarawak,01/01/2019,19793
W.P. Kuala Lumpur,01/01/2019,24582
Johor,01/01/2020,7243
Kedah,01/01/2020,10108
Kelantan,01/01/2020,6058
Melaka,01/01/2020,7275
Negeri Sembilan,01/01/2020,7918
Pahang,01/01/2020,9905
Pulau Pinang,01/01/2020,8929
Perak,01/01/2020,13173
Perlis,01/01/2020,1193
Selangor,01/01/2020,19715
Terengganu,01/01/2020,7420
Sabah,01/01/2020,10444
Sarawak,01/01/2020,9393
W.P. Kuala Lumpur,01/01/2020,12886
Johor,01/01/2021,3657.55
Kedah,01/01/2021,4023.002
Kelantan,01/01/2021,1920.93
Melaka,01/01/2021,3878.14
Negeri Sembilan,01/01/2021,5485.17
Pahang,01/01/2021,3404.772
Pulau Pinang,01/01/2021,5060.864
Perak,01/01/2021,4489.273
Perlis,01/01/2021,406.796
Selangor,01/01/2021,10211.58
Terengganu,01/01/2021,3719.052
Sabah,01/01/2021,3869.016
Sarawak,01/01/2021,6510.9
W.P. Kuala Lumpur,01/01/2021,9339.005
Johor,01/01/2022,12376.202
Kedah,01/01/2022,11186.197
Kelantan,01/01/2022,6627.155
Melaka,01/01/2022,11757.166
Negeri Sembilan,01/01/2022,11490.144
Pahang,01/01/2022,13188.959
Pulau Pinang,01/01/2022,10002.735
Perak,01/01/2022,14566.727
Perlis,01/01/2022,1669.175
Selangor,01/01/2022,21989.558
Terengganu,01/01/2022,10233.282
Sabah,01/01/2022,12833.005
Sarawak,01/01/2022,15464.621
W.P. Kuala Lumpur,01/01/2022,18218.534
