Year,Purpose of Visit,Percentage Share,,,,,,,
01/01/2015,Visiting relatives & friends,42.9,,,,,,,
01/01/2015,Shopping,28.9,,,,,,,
01/01/2015,Holiday/Leisure/Relaxation,13,,,,,,,
01/01/2015,Incentive Travel/ Others,1.4,,,,,,,
01/01/2015,Medical Treatment/Wellness,3.1,,,,,,,
01/01/2015,Entertainment/Attending Special Events/Sports,6.1,,,,,,,
01/01/2015,Official Business/Business/Education,2.9,,,,,,,
01/01/2015,Religious worship/Visit Places Of Worship,1.7,,,,,,,
01/01/2016,Visiting relatives & friends,43.6,,,,,,,
01/01/2016,Shopping,33.1,,,,,,,
01/01/2016,Holiday/Leisure/Relaxation,11.4,,,,,,,
01/01/2016,Incentive Travel/ Others,1.2,,,,,,,
01/01/2016,Medical Treatment/Wellness,3,,,,,,,
01/01/2016,Entertainment/Attending Special Events/Sports,4,,,,,,,
01/01/2016,Official Business/Business/Education,2.1,,,,,,,
01/01/2016,Religious worship/Visit Places Of Worship,1.6,,,,,,,
01/01/2017,Visiting relatives & friends,41.9,,,,,,,
01/01/2017,Shopping,31.1,,,,,,,
01/01/2017,Holiday/Leisure/Relaxation,13.2,,,,,,,
01/01/2017,Incentive Travel/ Others,1.1,,,,,,,
01/01/2017,Medical Treatment/Wellness,3.6,,,,,,,
01/01/2017,Entertainment/Attending Special Events/Sports,5.8,,,,,,,
01/01/2017,Official Business/Business/Education,2,,,,,,,
01/01/2017,Religious worship/Visit Places Of Worship,1.3,,,,,,,
01/01/2018,Visiting relatives & friends,40.6,,,,,,,
01/01/2018,Shopping,34.7,,,,,,,
01/01/2018,Holiday/Leisure/Relaxation,10.4,,,,,,,
01/01/2018,Incentive Travel/ Others,1.6,,,,,,,
01/01/2018,Medical Treatment/Wellness,4.6,,,,,,,
01/01/2018,Entertainment/Attending Special Events/Sports,5.2,,,,,,,
01/01/2018,Official Business/Business/Education,1.5,,,,,,,
01/01/2018,Religious worship/Visit Places Of Worship,1.4,,,,,,,
01/01/2019,Visiting relatives & friends,42.3,,,,,,,
01/01/2019,Shopping,35.4,,,,,,,
01/01/2019,Holiday/Leisure/Relaxation,9.0,,,,,,,
01/01/2019,Incentive Travel/ Others,2.8,,,,,,,
01/01/2019,Medical Treatment/Wellness,4.0,,,,,,,
01/01/2019,Entertainment/Attending Special Events/Sports,4.0,,,,,,,
01/01/2019,Official Business/Business/Education,1.4,,,,,,,
01/01/2019,Religious worship/Visit Places Of Worship,1.1,,,,,,,
01/01/2020,Visiting relatives & friends,32,,,,,,,
01/01/2020,Shopping,42.3,,,,,,,
01/01/2020,Holiday/Leisure/Relaxation,16.9,,,,,,,
01/01/2020,Incentive Travel/ Others,1.4,,,,,,,
01/01/2020,Medical Treatment/Wellness,4.2,,,,,,,
01/01/2020,Entertainment/Attending Special Events/Sports,1.7,,,,,,,
01/01/2020,Official Business/Business/Education,0.9,,,,,,,
01/01/2020,Religious worship/Visit Places Of Worship,0.6,,,,,,,
01/01/2021,Visiting relatives & friends,24.2,,,,,,,
01/01/2021,Shopping,36.4,,,,,,,
01/01/2021,Holiday/Leisure/Relaxation,15.5,,,,,,,
01/01/2021,Incentive Travel/ Others,6.6,,,,,,,
01/01/2021,Medical Treatment/Wellness,10.3,,,,,,,
01/01/2021,Entertainment/Attending Special Events/Sports,5.4,,,,,,,
01/01/2021,Official Business/Business/Education,1.2,,,,,,,
01/01/2021,Religious worship/Visit Places Of Worship,0.4,,,,,,,
01/01/2022,Visiting relatives & friends,33.7,,,,,,,
01/01/2022,Shopping,29.9,,,,,,,
01/01/2022,Holiday/Leisure/Relaxation,16.4,,,,,,,
01/01/2022,Incentive Travel/ Others,8.9,,,,,,,
01/01/2022,Medical Treatment/Wellness,5,,,,,,,
01/01/2022,Entertainment/Attending Special Events/Sports,4.4,,,,,,,
01/01/2022,Official Business/Business/Education,0.9,,,,,,,
01/01/2022,Religious worship/Visit Places Of Worship,0.8,,,,,,,
