Year,Number of Employed Workers,Median Wage,Mean Wage
01/01/2010,223.2,780,1159
01/01/2010,52.4,2800,3544
01/01/2010,1480.4,1270,1691
01/01/2010,47,2300,2939
01/01/2010,54.6,1210,1532
01/01/2010,582.7,1200,1646
01/01/2010,1103,1100,1432
01/01/2010,406.3,1500,1958
01/01/2010,396.2,900,1115
01/01/2010,142.4,2500,3188
01/01/2010,276.1,2500,2981
01/01/2010,42,2500,2812
01/01/2010,220.6,1900,2356
01/01/2010,230.7,1000,1372
01/01/2010,778.8,2045,2350
01/01/2010,707.1,2800,2875
01/01/2010,236.4,1995,2347
01/01/2010,65.8,1250,1496
01/01/2010,102.2,1200,1387
01/01/2011,181,800,1182
01/01/2011,63,2400,3557
01/01/2011,1606.7,1320,1709
01/01/2011,48.8,2400,2706
01/01/2011,54.3,1500,1911
01/01/2011,639.2,1300,1767
01/01/2011,1230.1,1160,1478
01/01/2011,420.3,1500,1872
01/01/2011,425.5,900,1134
01/01/2011,158.6,2500,3078
01/01/2011,277.7,2500,2949
01/01/2011,40.6,2400,2992
01/01/2011,269.5,2000,2644
01/01/2011,329.1,900,1278
01/01/2011,717.7,2160,2474
01/01/2011,725.5,2850,2885
01/01/2011,274.1,2000,2329
01/01/2011,67,1100,1502
01/01/2011,104.7,1000,1370
01/01/2012,202.3,900,1229
01/01/2012,72,2500,3441
01/01/2012,1594.6,1500,1884
01/01/2012,60.5,2200,2684
01/01/2012,59.7,1500,1679
01/01/2012,625.8,1300,1814
01/01/2012,1261.5,1200,1511
01/01/2012,442.5,1500,1999
01/01/2012,463.3,945,1218
01/01/2012,181.6,2600,3153
01/01/2012,283.9,2500,3060
01/01/2012,46.9,2200,2974
01/01/2012,252.6,2000,2815
01/01/2012,351.4,900,1180
01/01/2012,672.7,2245,2561
01/01/2012,733.1,3050,3113
01/01/2012,296.9,2100,2467
01/01/2012,65.4,1250,1598
01/01/2012,114.2,1200,1421
01/01/2013,232.6,900,1218
01/01/2013,68.2,2800,3558
01/01/2013,1497.8,1500,1969
01/01/2013,48.9,2500,2940
01/01/2013,64.9,1410,1667
01/01/2013,640.4,1500,1908
