Country,Number of Arrivals,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,60986859,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,16258281,,,,,,,,,,,,,,,,,,,,,,,,
China,12555011,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,9213909,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,6920024,,,,,,,,,,,,,,,,,,,,,,,,
India,2687458,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,2762754,,,,,,,,,,,,,,,,,,,,,,,,
Japan,2186845,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,2229260,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,1934470,,,,,,,,,,,,,,,,,,,,,,,,
Australia,2009679,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,1744503,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,1536121,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,1227198,,,,,,,,,,,,,,,,,,,,,,,,
France,727548,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,721792,,,,,,,,,,,,,,,,,,,,,,,,
Germany,672400,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,581965,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,411382,,,,,,,,,,,,,,,,,,,,,,,,
Russia,354989,,,,,,,,,,,,,,,,,,,,,,,,
Canada,408325,,,,,,,,,,,,,,,,,,,,,,,,
Iran,233272,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,279949,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,380988,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,191376,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,252934,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,110933,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,174553,,,,,,,,,,,,,,,,,,,,,,,,
Laos,151555,,,,,,,,,,,,,,,,,,,,,,,,
Italy,255367,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,382915,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,144224,,,,,,,,,,,,,,,,,,,,,,,,
Spain,192256,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,219804,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,108978,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,105063,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,132343,,,,,,,,,,,,,,,,,,,,,,,,
Poland,118852,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,121099,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,76909,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,77152,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,73883,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,96961,,,,,,,,,,,,,,,,,,,,,,,,
Norway,80927,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,59799,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
