Year,Number of Arrivals per month,,,,,,,,,,
1/1/15,2291603,,,,,,,,,,
2/1/15,1949016,,,,,,,,,,
3/1/15,2242077,,,,,,,,,,
4/1/15,2071922,,,,,,,,,,
5/1/15,2118890,,,,,,,,,,
6/1/15,1893792,,,,,,,,,,
7/1/15,2216049,,,,,,,,,,
8/1/15,2182536,,,,,,,,,,
9/1/15,2084339,,,,,,,,,,
10/1/15,2082866,,,,,,,,,,
11/1/15,2004694,,,,,,,,,,
12/1/15,2583467,,,,,,,,,,
1/1/16,2376166,,,,,,,,,,
2/1/16,2091098,,,,,,,,,,
3/1/16,2198716,,,,,,,,,,
4/1/16,2101280,,,,,,,,,,
5/1/16,2144119,,,,,,,,,,
6/1/16,2121396,,,,,,,,,,
7/1/16,2296615,,,,,,,,,,
8/1/16,2282173,,,,,,,,,,
9/1/16,2118367,,,,,,,,,,
10/1/16,2326487,,,,,,,,,,
11/1/16,2054165,,,,,,,,,,
12/1/16,2646810,,,,,,,,,,
1/1/17,2350270,,,,,,,,,,
2/1/17,2043215,,,,,,,,,,
3/1/17,2238184,,,,,,,,,,
4/1/17,2145734,,,,,,,,,,
5/1/17,2039016,,,,,,,,,,
6/1/17,2134647,,,,,,,,,,
7/1/17,2263478,,,,,,,,,,
8/1/17,2129013,,,,,,,,,,
9/1/17,2092378,,,,,,,,,,
10/1/17,2068995,,,,,,,,,,
11/1/17,2007965,,,,,,,,,,
12/1/17,2435564,,,,,,,,,,
1/1/18,2276750,,,,,,,,,,
2/1/18,2050613,,,,,,,,,,
3/1/18,2192855,,,,,,,,,,
4/1/18,1957248,,,,,,,,,,
5/1/18,1976981,,,,,,,,,,
6/1/18,2275921,,,,,,,,,,
7/1/18,2305324,,,,,,,,,,
8/1/18,2253534,,,,,,,,,,
9/1/18,2096889,,,,,,,,,,
10/1/18,2103975,,,,,,,,,,
11/1/18,1989842,,,,,,,,,,
12/1/18,2352422,,,,,,,,,,
1/1/19,2195684,,,,,,,,,,
2/1/19,2165933,,,,,,,,,,
3/1/19,2334613,,,,,,,,,,
4/1/19,2159517,,,,,,,,,,
5/1/19,2098267,,,,,,,,,,
6/1/19,2400561,,,,,,,,,,
7/1/19,2415097,,,,,,,,,,
8/1/19,2342438,,,,,,,,,,
9/1/19,1997093,,,,,,,,,,
10/1/19,2031198,,,,,,,,,,
11/1/19,1969315,,,,,,,,,,
12/1/19,1991068,,,,,,,,,,
1/1/20,2164459,,,,,,,,,,
2/1/20,1397912,,,,,,,,,,
3/1/20,671084,,,,,,,,,,
4/1/20,7546,,,,,,,,,,
5/1/20,5411,,,,,,,,,,
6/1/20,6585,,,,,,,,,,
7/1/20,18660,,,,,,,,,,
8/1/20,11631,,,,,,,,,,
9/1/20,16131,,,,,,,,,,
10/1/20,11315,,,,,,,,,,
11/1/20,11420,,,,,,,,,,
12/1/20,10568,,,,,,,,,,
1/1/21,8012,,,,,,,,,,
2/1/21,7599,,,,,,,,,,
3/1/21,9645,,,,,,,,,,
4/1/21,9742,,,,,,,,,,
5/1/21,9156,,,,,,,,,,
6/1/21,6459,,,,,,,,,,
7/1/21,6203,,,,,,,,,,
8/1/21,8062,,,,,,,,,,
9/1/21,8431,,,,,,,,,,
10/1/21,10684,,,,,,,,,,
11/1/21,14722,,,,,,,,,,
12/1/21,36013,,,,,,,,,,
