Year,Category,Total Expenditure,Number of Visitors
01/01/2015,Domestic,67842,176937
01/01/2016,Domestic,74773,189253
01/01/2017,Domestic,83103,205408
01/01/2018,Domestic,92561,221272
01/01/2019,Domestic,103184,239121
01/01/2020,Domestic,40424,131660
01/01/2021,Domestic,18410,65976
01/01/2015,International,25721251,69120
01/01/2016,International,26757392,82098
01/01/2017,International,25948459,82165
01/01/2018,International,25832354,84135
01/01/2019,International,26100784,86144
01/01/2020,International,4332722,12688
01/01/2021,International,134728,239
